complaint_id,date_submitted,product,company,state,consumer_narrative,outcome,_true_theme,_true_confidence,_true_theme_2,_true_valence_score,_true_valence_label,_true_emotion
CFPB-000010,2025-01-29T12:00:00-05:00,Debt collection,CL Holdings LLC,SC,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Jefferson Capital Systems XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX RE : Account # XXXX To Whom It May Concern : Be advised this is not a refusal to pay, but a notice that your claim is disputed and validation is requested.Under the Fair Debt collection Practices Act ( FDCPA ), I have the right to request validation of the debt you say I owe you. I am requesting proof that I am indeed the party you are asking to pay this debt, and there is some contractual obligation that is binding on me to pay this debt. This is NOT a request for verification or proof of my mailing address, but a request for VALIDATION made pursuant to 15 USC 1692g Sec. 809 ( b ) of the FDCPA. I respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. At this time I will also inform you that if your offices have or continue to report invalidated information to any of the three
major credit bureaus ( ",Closed with explanation,Debt Collection Practices,0.9,,2,Negative,Frustrated
CFPB-000011,2025-02-23T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,GA,"Consumer Name : ( XXXX XXXX ), Consumer Social Security Number : ( XXXX ), Consumer Date of Birth : ( XX/XX/XXXX ), Contents of Complaint : This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the TransUnion credit reporting agency , Experian, And Equifax LLC block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of a personal credit card account opened at CXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX under the account number ( XXXX ), an auto loan account opened aXXXX XXXX XXXX XXXX XXXX on XX/XX/XXXX under the account number ( XXXX ), a personal XXXX account opened at XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX under the account number ( XXXX, XXXX XXXX XXXX and a collections ",Closed with explanation,Identity Theft & Fraudulent Accounts,0.95,,2,Negative,Frustrated
CFPB-000012,2024-12-04T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,"There are several accounts listed on my credit report that I believe are a result of identity theft which i clearly stated last month. I have recently reviewed my credit report and noticed multiple collections from companies I do not recognize, and I have not authorized any of these accounts.",Closed with non-monetary relief,Identity Theft & Fraudulent Accounts,0.9,,2,Negative,Worried
CFPB-000013,2025-10-03T12:00:00-05:00,Debt collection,Resurgent Capital Services L.P.,TX,Talk to someone on the phone from LVN and told them I was a victim of fraud. and I wanted the debt removed from my credit,Closed with explanation,Identity Theft & Fraudulent Accounts,0.85,,2,Negative,Disappointed
CFPB-000014,2025-04-04T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",FL,"I request the immediate removal of unauthorized accounts from my credit report. I did not open or approve these accounts and have no knowledge of their origins. In compliance with USC 1681g, I formally ask for their removal within 15 days. Enclosed are supporting documents for your review. Additionally, inconsistent account details are being reported across different bureaus.",Closed with explanation,Identity Theft & Fraudulent Accounts,0.9,Inaccurate Payment History & Account Data,2,Negative,Frustrated
CFPB-000015,2021-06-03T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,I found errors dealing with fraudulent accounts that are hurting my good name. Someone stole my information and signed up for something in my name. I expect you to delete all the incorrect information in my report. The items I need deleted are located in the closed account section of the report.,Closed with explanation,Identity Theft & Fraudulent Accounts,0.9,,2,Negative,Frustrated
CFPB-000016,2025-06-23T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,"I am filing this complaint to notify you that I have been a victim of identity theft. As per FCRA Section 605B regarding Credit Reporting Agencies, I must report this to the Federal Trade Commission or visit XXXX to file an official report. I understand that you are required to investigate any items listed on an identity theft report. Attached are the relevant documents to support the investigation into the inaccurate information reported on my credit file, including a list of items that do not belong to me or were initiated without my consent. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXX",Closed with non-monetary relief,Identity Theft & Fraudulent Accounts,0.9,,2,Negative,Disappointed
CFPB-000017,2020-02-23T12:00:00-05:00,Credit card,Avant Credit Corporation,RI,Avan credit card I ipplied was denied right on the spot I have other credit cards XXXX   XXXX XXXX  XXXX XXXX XXXX and avant- just denied me their service for not reason,Closed with explanation,None of the above,0.7,,2,Negative,Disappointed
CFPB-000018,2021-03-31T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,CA,"It's been about six months since my first letter went out to Experian. Simple letter asking to update my phone number, employment information, and i noticed a few accounts that did not belong to me.

With over fifty letters sent to Experian which i am happy to send, this investigation has gone on for over six months. The accounts that do not belong to me and do not have my name or phone number or information on are still being reported by Experian.

I have the letter 's i sent to Experian explaining how each account is flawed and must be removed because of Experian 's continuous breaking of the law.

Experian has violated the FCRA, FCDPA, TILA, and FDPA. I have the documentation from Experian to verify this information. 

From XXXX XXXX to XXXX XXXX without any resolution. The investigation results keep coming back as "" verified as accurate '' without any of the legal documentation i requested. How can you repeat an investigation over 50 times without conducting an outside investigatio",Closed with non-monetary relief,Dispute Process Failures,0.95,,1,Very Negative,Angry
CFPB-000019,2018-05-16T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,"Dear Transunion, I checked my personal credit report, which I acquired from your company on XX/XX/XXXX and I noticed that a FRAUDULENT inquiry that had been made on XX/XX/XXXX is still being reported on my credit report. 
I contacted XXXX XXXX  XXXX, who conducted the inquiry and asked them to remove their credit inquiry from my credit profile. According to XXXX XXXX  XXXX, they can not see the inquiry and so they can not remove something that isnt there. 
I request that you initiate a REINVESTIGATION into XXXX XXXX   XXXX  ( XX/XX/XXXX ) inquiry on my credit report to determine who authorized this hard inquiry. If, once your REINVESTIGATION is complete, you find my allegation to be true, please remove the FRAUDULENT inquiry. ( Do not send me anything via US mail. ) Please note that although the inquiry shown on my credit report is a factual record of the company who accessed and reviewed my profile and although it is only logged on the report, when in fact, an inquiry was made ; a rec",Closed with non-monetary relief,Unauthorized Credit Inquiries,0.9,,2,Negative,Frustrated
CFPB-000020,2018-02-02T12:00:00-05:00,Mortgage,Freedom Mortgage Company,CO,"I recently called XXXX XXXX ( on XX/XX/2018 ) with a problem regarding my payments. I prefer to manually pay my monthly mortgage payment, which equates to {$2700.00}. Twice now I have had the issue where I manually pay before the due date, but then a second installment is taken out of my account through their recurring payment program. I did initially sign up for this program, but then thought I had cancelled it. The first time redundant payments were taken out for one month and my checking account went below {$0.00}, I thought the representative from Freedom on the phone had unrolled me from the recurring program after I called in to rectify the situation, so I assumed I could make the payments myself. Yet, it happened again. I called Freedom again and spoke to a particularly unhelpful representative named XXXX ( # XXXX ). She was rather impolite from the start of the call and asked me why I would make a payment when I enrolled in the recurring payment program, even after explaining t",Closed with explanation,Loan & Mortgage Servicing,0.9,,2,Negative,Frustrated
CFPB-000021,2017-03-14T12:00:00-05:00,Student loan,"Navient Solutions, LLC.",MN,"I was told by Navient that my loan was in a long term forbearance since the loss of my children 's father. They said that they would defer my payments until XX/XX/XXXX and that I would have to pay interest when i started repayment in XX/XX/XXXX. Because of financial hardship I was told this was the best option in XX/XX/XXXX. In XX/XX/XXXX I was surprised to find a report on my credit that my loans were delinquent when I had just responded to their email asking if j wanted to continue deferring payments. I was told "" not to worry '' since it was on record that I was experiencing hardship and would begin payments in XX/XX/XXXX. Now they have intercepted my tax return and did not forward our previous arrangements to the department of education. I was mid-led & deceived by Navient and in my opinion anyone coming after them to try and clean up their collections is also being mis-led. I have a strong desire to pay my debts and accept full responsibility for them. However this deception has w",Closed with explanation,Loan & Mortgage Servicing,0.85,Debt Collection Practices,2,Negative,Angry
CFPB-000022,2025-12-23T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,"I am submitting this complaint regarding a failure to conduct a proper reinvestigation under the Fair Credit Reporting Act. 

The company continues to report a collection account with the following details. 

Address XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, GA XXXX Phone ( XXXX ) XXXX Account details Original creditor : The XXXX XXXX  Account type : Collection agency or attorney Responsibility : Joint account Date opened : XX/XX/XXXX High balance : {$7800.00} Past due : {$7800.00} Pay status : Collection Date updated : XX/XX/XXXX Remarks : Completed investigation of FCRA dispute consumer disagreed, placed for collection I formally disputed this account with the credit reporting agencies. The furnisher verified the account without conducting a reasonable reinvestigation. The response failed to address the substance of my dispute and relied on automated verification instead of reviewing underlying evidence. 

This conduct violates the Fair Credit Reporting Act, including : 15 U.S",Closed with explanation,Dispute Process Failures,0.9,,2,Negative,Frustrated
CFPB-000023,2023-01-09T12:00:00-05:00,Credit reporting,"EQUIFAX, INC.",GA,"Equifax, XXXX, XXXX are all reporting improper information. I also believe I am victim of identity theft and/or data breach. My credit scores and reports have been compromised because of it. I tried Disputing with the comoanies directly and thing were not properly handle. 

Hard inquires i didnt authorize : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Closed with explanation,Identity Theft and Fraudulent Accounts,0.9,Unauthorized Credit Inquiries,2,Negative,Worried
CFPB-000024,2026-01-01T12:00:00-05:00,Debt collection,"Security Credit Services, LLC",MI,"I am disputing the accuracy and legal compliance of the collection account listed as : Security Credit Services Balance : {$340.00} This account is being reported in violation of the Fair Credit Reporting Act, specifically 15 U.S.C. 1681s-2 ( a ) ( 5 ).

This rebuttal responds to XXXX XXXX and Security Credit Services claim that assignment of the account cures the disputed credit reporting inaccuracies.

While the contract may permit assignment of the agreement, contractual assignment does not supersede or negate compliance with the Fair Credit Reporting Act.

The response confirms the following : The account was charged off on XX/XX/year> The account was purchased by Security Credit Services on XX/XX/year> However, neither party has identified or documented the Date of First Delinquency, which is the controlling date under 15 U.S.C. 1681s-2 ( a ) ( 5 ) and 1681c ( c ). Reporting the account as opened in 2025 based on purchase or assignment date constitutes improper re-aging, which is ",Closed with explanation,Dispute Process Failures,0.85,,2,Negative,Frustrated
CFPB-000025,2023-04-06T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,PA,"I, XXXX XXXX XXXX, am verifying that this is XXXX XXXX XXXX and there is no need to ask for validation. 

RE : You violated the United States Code Law 15 U.S Code 1681 a ( 4 ) Consumer Right to privacy You are reporting fraudulent accounts that aren't actually mine, which is an infringement of my privacy. Congress said I have the right to decide what I deem private. I deem my hard inquiry and account information to be private and I DO NOT WANT THIS INFORMATION SHARED ON MY CREDIT REPORT.

FDCPA 807 misleading false reporting THE INFORMATION YOU ARE REPORTING WOULD LEAD A FUTURE CREDITOR TO BELIEVE I APPLIED FOR ALL THESE INQUIRIES & accounts, when in reality it wasn't me, it was a scammer. Reporting these false things is very misleading. You are in violation because you did not witness me sign for these inquiries or accounts, so you can't actually verify that they are accurate, but yet you still reported these things to my credit report which goes against the FCRA laws for FAIRNESS.

1",Closed with non-monetary relief,Unauthorized Credit Inquiries,0.9,Identity Theft & Fraudulent Accounts,2,Negative,Angry
CFPB-000026,2023-03-14T12:00:00-05:00,Credit reporting,"BMW Financial Services NA, LLC",FL,"MY CREDIT WAS PULLED WITHOUT MY PERMISSION AND ACCTS ARE LISTED THAT I HAVE NO RECOLLECTION OF. 

BMW FINANCIAL SERVICES Date opened XX/XX/XXXX Account type Auto Loan XXXX XXXX XXXXXXXX XXXX  DATE OPENED XX/XX/XXXX XXXX {$95000.00} XXXX UPDATED XX/XX/XXXX XXXX XXXXXXXX XXXX DATE OPENED XX/XX/XXXX XXXX {$110000.00} XXXX UPDATED XX/XX/XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX {$2800.00} XXXX UPDATED XX/XX/XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX {$0.00} XXXX UPDATED XXXX XXXX XXXX XXXX Original creditor : XXXXXXXX XXXX Date opened XX/XX/XXXX ACCT # XXXXXXXX XXXX {$290.00} XXXX updated XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Original creditor : XXXX XXXX  Date opened XX/XX/XXXX ACCT # XXXX XXXX {$1400.00} XXXX updated XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX Original creditor : XXXX XXXX XXXX XXXX XXXX XXXX OPENED XX/XX/XXXX XXXX {$22000.00} XXXX  UPDATED XX/XX/XXXX INQUIRY -- - XXXX Inquiry date XX/XX/XXXX XXXX XXXX XXXX ",Closed with explanation,Unauthorized Credit Inquiries,0.9,Identity Theft & Fraudulent Accounts,2,Negative,Worried
CFPB-000027,2022-05-04T12:00:00-05:00,Mortgage,TRUIST FINANCIAL CORPORATION,FL,"My previous insurance carrier exited the XXXX XXXXt. There was a 9 day stub period between insurance renewals. The stub period was out of my control. The insurance agency was unable to bind a policy timely due to the timing of notification. Florida statutes allow only 30 calendar days of non-renewal notice during the XXXX and XXXX XXXX holiday. The main XXXX policy was paid out of pocket effective XX/XX/XXXX for {$4200.00} XXXX I was charged {$260.00} for the stub period between the XXXX term and the XXXX renewal by Truist for a stub policy. Truist refused to allow me to pay the {$260.00} and has sat as an "" escrow '' deficit since XXXX of XXXX. 

Suntrust refused to allow me to pay the {$260.00} directly for the 9 day gap.. Suntrust did not notify me during their evaluation process until whatever process they have concluded. Suntrust unilaterally established an escrow because of the {$260.00} deficit they refused to allow me to pay. 

Their reasoning is that because I had an escrow de",Closed with explanation,Loan & Mortgage Servicing,0.85,,2,Negative,Frustrated
CFPB-000028,2024-05-03T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,IL,Compliance with FCRA 605B entails removing any inaccurate accounts from my credit report. Could you please verify the documents? There are inaccuracies in the reporting of several listed accounts. Compensation of {$1000.00} is required for each erroneous entry on my credit file.,Closed with explanation,Identity Theft & Fraudulent Accounts,0.7,Dispute Process Failures,2,Negative,Frustrated
CFPB-000029,2024-01-23T12:00:00-05:00,Student loan,EdFinancial Services,ME,On XXXX XXXX  I called edfinancial to request that the overage I am paying every month on my student loan payments be put towards my principal and she said that is not possible and I am not able to choose where the money goes. I then tried to inquire about why my interest rates were so high and she told me I had unpaid interest. I asked if I could pay that off right now and she said no I am not able to just chose to pay off my unpaid interest and that interest will keep accruing interest for the life of the loan even though I am paying an overage every month.,Closed with explanation,Loan Servicing and Payment Disputes,0.95,,2,Negative,Frustrated
CFPB-000030,2024-07-24T12:00:00-05:00,Credit reporting,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,Greetings! There are two unknown hard inquiries that have shown up on my personal credit report in the past week that were not initiated by me personally. I do not recognize these inquiries and they are fraudulently reporting on my credit report which is causing damage to my personal life.,Closed with explanation,Unauthorized Credit Inquiries,0.95,Identity Theft and Fraudulent Accounts,2,Negative,Worried
CFPB-000031,2018-10-10T12:00:00-05:00,Debt collection,ENCORE CAPITAL GROUP INC.,KY,"XX/XX/XXXX, hired XXXX XXXX XXXX XXXX XXXX XXXX, to dispute inaccurate and or fraudulent accounts on all credit reporting bureaus. As of XX/XX/XXXX, I pulled a credit report to show progress XXXX XXXX XXXX attempted. Accounts in question had not been removed only closed, no account accuracy, contracts, account transactions received, from third party debt collect XXXX XXXX, XXXX. Account was sold XX/XX/XXXX from XXXX Bank, formerly kmow as XXXX XXXX XXXX Bank. Currently, XXXX XXXX XXXX, sent a 'Alias Summons requesting demand of XXXX. 

On at least 4 attempts, credit bureaus, XXXX Bank ( change of name in XX/XX/XXXX ) and XXXX XXXX XXXX, were contacted to valid account accuracy due to severe identity theft, XXXX XXXX XXXX, has violated the Fair Debit Collection Protections Act ( FDCPA ) that prohibits debt collectors from from using unfair, deceptive, and or abusive when collecting comsumer debts.",Closed with explanation,Debt Collection Practices,0.8,Identity Theft & Fraudulent Accounts,2,Negative,Angry
CFPB-000032,2025-12-23T12:00:00-05:00,Checking or savings account,U.S. BANCORP,MN,"U.S. Bank allowed {$1900.00} of fraudulent charges to knowingly take place on my business checking account. 

I had signed up for XXXX ads for my business on XX/XX/2025, using payment from my business checking account debit card. I was skeptical of XXXX ads, so I kept an eye on ads. 

First payment of {$2.00} on XX/XX/2025 was legitimate. This was how XXXX confirmed the card. ALL other charges from XXXX ads are fraudulent. 

On XX/XX/2025, I noticed 21 PENDING fraudulent charges on my card totaling {$520.00}. 

On XX/XX/2025 I called U.S. Bank 's fraud department to report the PENDING fraudulent charges on my card. U.S. Bank 's fraud department TOLD me that the charges must fully go through to make a claim of fraud on the account. They did not offer me any other option than to allow the fraud to fully go through, as opposed to canceling the transactions.

Fraud continued on the card. I called again on XX/XX/2025. They gave me the same answer. 

My account balance on XX/XX/2025 was {$12",Closed with explanation,Banking and Account Access Problems,0.95,,1,Very Negative,Angry
CFPB-000033,2023-04-24T12:00:00-05:00,Credit reporting,Experian Information Solutions Inc.,FL,"Inquiries Request for Delete XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX Delete ALL Late Payments On Accounts Below XXXX XXXX - ACCNT XXXX XXXXXXXX XXXX XXXXXXXX - ACCNT XXXX XXXX XXXX XXXX XXXX  - ACCNT XXXX XXXX Remove/Delete all Accounts bellow XXXX - ACCNT XXXX XXXXXXXX TXXXX XXXX XXXX ACCNT XXXX XXXX XXXX, XXXX. ACCNT XXXX XXXX",Closed with non-monetary relief,Dispute Process Failures,0.7,,2,Negative,Frustrated
CFPB-000034,2024-04-29T12:00:00-05:00,Credit reporting,Resurgent Capital Services L.P.,FL,"I am writing to bring attention to the provisions outlined in the Fair Credit Reporting Act ( FCRA ), specifically 15 U.S. Code 1681, Section 602 ( a ). This section emphasizes the critical role of consumer reporting agencies ( CRAs ) in our financial system and underscores the importance of treating consumers fairly, impartially, and with respect for their privacy rights. 
As both XXXX and XXXX operate as consumer reporting agencies, it is imperative that they adhere to the principles set forth in the FCRA. As a consumer, I assert my right to ensure that my private information remains confidential and is not shared without proper authorization. This right is supported by 15 U.S. Code 6801, which places an obligation on financial institutions to safeguard customer privacy.

Furthermore, according to 15 U.S. Code 1681, Section 604 ( a ) ( 2 ), consumer reporting agencies may only furnish consumer reports with explicit written consent. I have not provided such consent, and any previous c",Closed with explanation,Identity Theft & Fraudulent Accounts,0.75,Unauthorized Credit Inquiries,2,Negative,Worried
